代码,名称,现价,流通市值(亿),分类,蓄势相似度,拉升相似度,蓄势段涨幅,拉升段涨幅,匹配段DTW,匹配段相关,量能形态
002999,天禾股份,5.920,20.3,刚启动(拉升初期),12.34,75.67,-0.0677,0.0963,1.2747,0.8794,1.0
301080,百普赛斯,95.080,120.6,刚启动(拉升初期),41.68,75.55,1.4136,0.8262,1.3943,0.8653,1.0
001231,农心科技,20.860,10.6,刚启动(拉升初期),12.37,75.54,-0.06,0.18,1.1516,0.9027,0.7
002578,闽发铝业,3.680,31.7,刚启动(拉升初期),12.06,75.49,-0.1303,0.2699,1.3412,0.8824,1.0
688449,联芸科技,68.580,201.1,刚启动(拉升初期),8.48,75.43,-0.0331,0.3091,1.2343,0.9172,0.7
301628,强达电路,87.780,24.5,刚启动(拉升初期),7.2,75.34,-0.2981,0.2151,1.3822,0.8966,1.0
600162,香江控股,4.040,132.0,刚启动(拉升初期),9.76,75.28,0.4982,0.4929,1.2236,0.8968,0.7
000798,中水渔业,8.640,31.6,刚启动(拉升初期),15.96,75.23,-0.0046,0.1137,1.3539,0.8932,1.0
605177,东亚药业,19.660,22.3,刚启动(拉升初期),8.04,75.2,-0.134,0.3149,1.3925,0.8888,1.0
688656,浩欧博,94.870,60.3,刚启动(拉升初期),7.99,75.2,-0.1461,0.1983,1.3525,0.8847,1.0
600883,博闻科技,7.690,18.2,刚启动(拉升初期),12.29,75.18,-0.0779,0.1942,1.1064,0.8775,0.7
001234,泰慕士,22.120,20.2,刚启动(拉升初期),15.18,75.12,-0.103,0.1723,1.3727,0.8915,1.0
300120,经纬辉开,8.870,46.8,刚启动(拉升初期),8.76,75.08,0.0363,0.4137,1.5105,0.9177,1.0
688167,炬光科技,274.790,357.6,刚启动(拉升初期),18.39,75.02,-0.0551,0.436,1.317,0.9253,0.7
300345,华民股份,9.650,46.4,刚启动(拉升初期),35.6,74.93,0.602,0.8552,1.5893,0.9131,1.0
600261,阳光照明,3.080,41.1,刚启动(拉升初期),8.57,74.91,-0.0122,0.0983,1.2259,0.8439,1.0
001226,拓山重工,46.770,15.9,刚启动(拉升初期),8.43,74.89,-0.0454,0.2244,1.3998,0.8905,1.0
603282,亚光股份,15.520,20.8,刚启动(拉升初期),8.39,74.86,-0.0561,0.1548,0.9973,0.9114,0.4
605168,三人行,46.120,97.2,刚启动(拉升初期),8.29,74.84,-0.0791,0.3663,1.0856,0.9235,0.4
300670,大烨智能,6.370,14.3,刚启动(拉升初期),8.32,74.8,-0.0713,0.1771,1.2769,0.9263,0.7
603001,奥康国际,8.070,32.4,刚启动(拉升初期),7.51,74.79,-0.243,0.2933,0.9943,0.8973,0.4
000856,冀东装备,8.470,19.2,刚启动(拉升初期),8.28,74.79,-0.0804,0.1783,1.3449,0.8734,1.0
688559,海目星,55.820,138.3,刚启动(拉升初期),8.27,74.73,-0.0843,0.3074,1.2492,0.9047,0.7
688205,德科立,158.110,251.8,刚启动(拉升初期),14.29,74.69,-0.2819,0.2951,1.4418,0.8939,1.0
000833,粤桂股份,21.630,98.1,刚启动(拉升初期),8.23,74.65,-0.0932,0.1339,1.2695,0.9236,0.7
