代码,名称,现价,流通市值(亿),分类,蓄势相似度,拉升相似度,蓄势段涨幅,拉升段涨幅,匹配段DTW,匹配段相关,量能形态
603291,联合水务,9.430,39.9,刚启动(拉升初期),8.29,55.07,-0.0791,0.209,1.8302,0.7897,0.0
600172,黄河旋风,13.540,173.7,刚启动(拉升初期),10.18,55.07,-0.0384,0.1825,2.088,0.7029,0.7
600604,市北高新,4.490,63.2,刚启动(拉升初期),25.24,55.05,0.0045,0.0767,2.4863,0.7696,1.0
301130,西点药业,31.380,18.5,刚启动(拉升初期),19.03,55.05,0.1088,0.3715,1.9542,0.8179,0.0
301135,瑞德智能,16.880,17.0,刚启动(拉升初期),8.36,55.05,-0.0622,0.1514,1.9536,0.8352,0.0
600189,泉阳泉,7.420,53.1,形态接近(观察),8.25,54.93,-0.0885,0.0676,1.993,0.853,0.0
603825,ST华扬,8.160,20.7,形态接近(观察),8.62,54.83,0.0,0.1758,1.8191,0.7829,0.0
603738,泰晶科技,37.570,145.0,形态接近(观察),12.04,54.76,-0.1347,0.1454,2.0236,0.7517,0.4
603313,梦百合,6.080,34.7,形态接近(观察),33.23,54.55,0.0667,0.0629,1.9532,0.7306,0.4
000609,*ST中迪,10.630,30.9,形态接近(观察),7.77,54.48,-0.191,0.158,1.9096,0.8057,0.0
603721,中广天择,18.050,23.5,形态接近(观察),17.65,54.45,-0.2159,0.1938,2.5463,0.7643,1.0
000620,盈新发展,3.150,147.2,形态接近(观察),17.23,54.45,0.125,0.1538,2.3091,0.6886,1.0
601999,出版传媒,6.100,33.6,形态接近(观察),22.88,54.39,0.015,0.0721,2.5446,0.773,1.0
000949,新乡化纤,6.920,114.6,形态接近(观察),8.68,54.32,0.0147,0.1972,2.0664,0.7508,0.4
600533,栖霞建设,2.180,22.9,形态接近(观察),8.49,54.22,-0.0311,0.1414,1.8841,0.7922,0.0
000983,山西焦煤,7.320,415.6,形态接近(观察),8.92,54.16,0.0781,0.1509,2.2016,0.7958,0.4
603618,杭电股份,28.530,197.2,形态接近(观察),14.01,54.1,-0.332,0.1024,2.2884,0.7524,0.7
603520,司太立,8.860,38.8,形态接近(观察),8.02,54.0,-0.1398,0.0598,2.1691,0.789,0.4
603900,莱绅通灵,6.420,22.0,形态接近(观察),15.44,53.92,-0.0432,0.1889,1.9629,0.8068,0.0
300189,神农种业,5.590,49.5,形态接近(观察),18.96,53.76,0.0897,0.3184,2.2827,0.6492,1.0
301373,凌玮科技,98.360,68.5,形态接近(观察),7.25,53.71,-0.2903,0.0891,2.4737,0.7307,1.0
301225,恒勃股份,58.700,25.8,形态接近(观察),13.86,53.65,-0.3552,0.0972,2.2412,0.8011,0.4
300005,探路者,10.850,95.1,形态接近(观察),17.29,53.6,-0.2819,0.1232,2.124,0.7582,0.4
603577,汇金通,10.170,34.5,形态接近(观察),18.29,53.54,-0.0221,0.1401,2.0098,0.8173,0.0
600425,青松建化,3.560,57.1,形态接近(观察),12.45,53.51,-0.0404,0.0627,1.9637,0.8082,0.0
301389,隆扬电子,56.130,159.1,形态接近(观察),6.85,53.46,-0.3574,0.113,2.4183,0.7039,1.0
002902,铭普光磁,24.760,44.0,形态接近(观察),7.43,53.39,-0.2567,0.1034,2.0273,0.8225,0.0
600784,鲁银投资,7.780,52.6,形态接近(观察),28.1,53.31,0.0277,0.0912,1.9699,0.8026,0.0
301180,万祥科技,11.730,19.3,形态接近(观察),7.61,53.29,-0.2232,0.1087,1.9968,0.8094,0.0
603917,合力科技,12.300,25.1,形态接近(观察),16.95,53.26,0.0008,0.1571,1.9993,0.8052,0.0
300057,万顺新材,6.550,54.4,形态接近(观察),7.71,53.25,-0.2041,0.0791,1.8869,0.7744,0.0
600487,亨通光电,62.180,1525.7,形态接近(观察),14.76,53.23,-0.1937,0.1194,2.12,0.7481,0.4
603700,宁水集团,11.420,22.8,形态接近(观察),22.21,53.22,0.0106,0.0574,2.1609,0.7671,0.4
301479,弘景光电,48.280,34.4,形态接近(观察),7.19,53.17,-0.2996,0.0383,2.6432,0.7785,1.0
603657,春光科技,27.970,37.8,形态接近(观察),12.81,53.12,0.0484,0.2955,2.0836,0.7187,0.4
600785,新华百货,9.740,30.8,形态接近(观察),13.56,53.05,-0.4028,0.2236,2.0415,0.8085,0.0
603729,ST龙韵,11.240,10.4,形态接近(观察),8.02,52.95,-0.1394,0.1118,2.0052,0.8034,0.0
600737,中粮糖业,14.560,311.4,形态接近(观察),19.1,52.93,0.1287,0.2053,2.3925,0.6741,1.0
600303,曙光股份,2.870,19.4,形态接近(观察),8.15,52.92,-0.1115,0.1667,2.0499,0.8129,0.0
002967,广电计量,17.230,104.0,形态接近(观察),7.84,52.85,-0.1764,0.0519,2.265,0.7931,0.4
300195,长荣股份,5.540,17.4,形态接近(观察),8.38,52.77,-0.0578,0.1518,2.0015,0.7943,0.0
600293,三峡新材,2.840,32.9,形态接近(观察),8.14,52.75,-0.1125,0.0923,1.9735,0.7897,0.0
600503,华丽家族,2.130,34.1,形态接近(观察),7.75,52.72,-0.1962,0.0812,2.1756,0.7574,0.4
600227,赤天化,3.950,50.5,形态接近(观察),26.67,52.51,0.3123,0.254,2.4414,0.6758,1.0
603381,永臻股份,15.270,21.7,形态接近(观察),7.57,52.5,-0.2307,0.1041,2.032,0.8018,0.0
600252,中恒集团,2.220,70.7,形态接近(观察),13.75,52.48,0.0,0.0137,2.6693,0.7724,1.0
600560,金自天正,11.110,24.8,形态接近(观察),8.04,52.48,-0.1347,0.0693,2.0366,0.8062,0.0
603500,祥和实业,9.510,31.6,形态接近(观察),8.25,52.47,-0.0882,0.1486,2.1567,0.7388,0.4
000882,华联股份,1.430,39.1,形态接近(观察),8.43,52.46,-0.0467,0.0515,2.3616,0.7406,0.7
603311,金海高科,28.980,68.4,形态接近(观察),8.46,52.41,-0.0391,0.1181,1.9878,0.7836,0.0
600234,科新发展,21.450,56.3,形态接近(观察),11.83,52.35,-0.1788,0.1458,1.963,0.7713,0.0
603369,今世缘,27.890,347.7,形态接近(观察),18.68,52.35,-0.0795,0.0793,2.5474,0.7222,1.0
603696,安记食品,13.150,30.9,形态接近(观察),14.43,52.33,-0.0457,0.2476,2.487,0.7622,0.7
603773,沃格光电,100.990,226.9,形态接近(观察),8.5,52.11,-0.0297,0.1743,2.2664,0.6891,0.7
600759,ST洲际,2.580,106.9,形态接近(观察),8.35,52.01,-0.0652,0.1073,2.384,0.8065,0.4
600798,宁波海运,3.340,40.3,形态接近(观察),8.48,52.01,-0.0347,0.0503,2.3349,0.6456,1.0
301208,中亦科技,29.850,20.1,形态接近(观察),8.74,51.96,0.0307,0.1138,2.4248,0.7434,0.7
603595,ST东尼,26.130,60.7,形态接近(观察),14.48,51.82,0.0744,0.1282,1.9375,0.7513,0.0
